form,lemma,id,lemma_id,sentence_id,pos,morphology
не,не,2339066,58767,219252,Df,---------n
прѣполовѩтъ,прѣполовити,2339067,137592,219252,V-,3ppia----i
дны,дьнь,2339068,58915,219252,Nb,-p---mg--i
своіхъ,свои,2339069,58780,219252,Pt,3p---mg--i
Азъ,азъ,2339070,58807,219253,Pp,1s---pn--i
же,же,2339071,58808,219253,Df,---------n
г҃і,господь,2339072,58858,219253,Nb,-s---mv--i
ѹпъваѭ,оупъвати,2339073,65645,219253,V-,1spia----i
на,на,2339074,58783,219253,R-,---------n
тѩ,тꙑ,2339075,58769,219253,Pp,2s---ma--i
Без,без,2346584,66295,220430,R-,---------n
напьсаньѣ,напьсаниѥ,2346585,60004,220430,Nb,-s---ng--i
Въскѫѭ,въскѫѭ,2346586,65887,220431,Du,---------n
шѩташѩ,шѧтати,2346587,150727,220431,V-,3paia----i
сѩ,себе,2346588,58829,220431,Pk,3s---qa--i
езъіці,ѩзꙑкъ,2346589,59128,220431,Nb,-p---mn--i
Ї,и,2346590,58771,220431,C-,---------n
людье,людиѥ,2346591,59473,220431,Nb,-p---mn--i
пооучішѩ,пооучити,2346592,137659,220431,V-,3paia----i
сѩ,себе,2346593,58829,220431,Pk,3s---qa--i
тъщет.нъімъ,тъщетьнъ,2346594,85922,220431,A-,-p---ndpwi
ашѩ,прѣдъстати,2346595,79311,220433,V-,3paia----i
цр҃і,цѣсарь,2346596,64252,220433,Nb,-p---mn--i
земьни,земьнъ,2346597,66254,220433,A-,-p---mnpsi
собьрашѩ,събьрати,2346598,60182,220454,V-,3paia----i
сѩ,себе,2346599,58829,220454,Pk,3s---qa--i
вь,въкоупѣ,2346600,68896,220454,Df,---------n
на,на,2346601,58783,220454,R-,---------n
г҃ѣ,господь,2346602,58858,220454,Nb,-s---ml--i
сна,сꙑнъ,2346603,146309,220454,Nb,-s---mg--i
х҃а,христ(ос)ъ,2346604,64943,220454,Ne,-s---mg--i
его,и,2346605,58765,220454,Pp,3s---mg--i
Растръгнѣмъ,растръгнѫти,2346606,66650,220434,V-,1ppma----i
ѫзъі,ѫза,2346607,64440,220434,Nb,-p---fa--i
іхъ,и,2346608,58765,220434,Pp,3p---pg--i
ї,и,2346609,58771,220434,C-,---------n
отъвръзѣмъ,отъврѣщи,2346610,65080,220434,V-,1ppma----i
отъ,отъ,2346611,58785,220434,R-,---------n
насъ,мꙑ,2346612,59257,220434,Pp,1p---pg--i
иго,иго,2346613,67548,220434,Nb,-s---na--i
іхъ,и,2346614,58765,220434,Pp,3p---pg--i
Живъіі,жити,2346615,67386,220435,V-,-sppamn-wi
на,на,2346616,58783,220435,R-,---------n
бсехъ,небо,2346617,58920,220435,Nb,-p---nl--i
посмѣетъ,посмиꙗти,2346618,120102,220435,V-,3spia----i
сѩ,себе,2346619,58829,220435,Pk,3s---qa--i
емоу,и,2346620,58765,220435,Pp,3s---md--i
і,и,2346621,58771,220435,C-,---------n
г҃ъ,господь,2346622,58858,220435,Nb,-s---mn--i
порѫгаетъ,порѫгати,2346623,65656,220435,V-,3spia----i
сѧ,себе,2346624,58829,220435,Pk,3s---qa--i
імъ,и,2346625,58765,220435,Pp,3p---pd--i
Тъгда,тъгда,2346626,64413,220436,Df,---------n
възгл҃етъ,възглаголати,2346627,64390,220436,V-,3spia----i
къ,къ,2346628,58898,220436,R-,---------n
німъ,и,2346629,58765,220436,Pp,3p---pd--i
гнѣвомъ,гнѣвъ,2346630,65122,220436,Nb,-s---mi--i
своімъ,свои,2346631,58780,220436,Pt,3s---mi--i
и,и,2346632,58771,220436,C-,---------n
ѣростьѭ,ꙗрость,2346633,55811,220436,Nb,-s---fi--i
своеѭ,свои,2346634,58780,220436,Pt,3s---fi--i
съмѩтетъ,съмѧсти,2346635,67604,220436,V-,3spia----i
ѩ,и,2346636,58765,220436,Pp,3p---pa--i
Азъ,азъ,2346637,58807,220438,Pp,1s---mn--i
же,же,2346638,58808,220438,Df,---------n
поставленъ,поставити,2346639,65354,220438,V-,-suppmn-si
есмъ,бꙑти,2346640,58773,220438,V-,1spia----i
цр҃ъ,цѣсарь,2346641,64252,220438,Nb,-s---mn--i
отъ,отъ,2346642,58785,220438,R-,---------n
него,и,2346643,58765,220438,Pp,3s---mg--i
Надъ,надъ,2346644,67778,220438,R-,---------n
сіономъ,сионъ,2346645,133009,220438,Ne,-s---mi--i
горѫѫ,гора,2346646,58899,220438,Nb,-s---fa--i
ст҃ѫѭ,свѧтъ,2346647,58910,220438,A-,-s---fapwi
его,и,2346648,58765,220438,Pp,3s---mg--i
Възвѣщаѩ,възвѣщати,2346649,68553,220438,V-,-sppamn-si
повелѣнье,повелѣниѥ,2346650,67680,220438,Nb,-s---na--i
гн҃е,господьнь,2346651,58991,220438,A-,-s---napsi
Гъ҃,господь,2346652,58858,220441,Nb,-s---mn--i
рече,рещи,2346653,58793,220441,V-,3saia----i
къ,къ,2346654,58898,220441,R-,---------n
мнѣ,азъ,2346655,58807,220441,Pp,1s---md--i
сн҃ъ,сꙑнъ,2346656,146309,220455,Nb,-s---mn--i
моі,мои,2346657,58929,220455,Ps,1s---mn--i
есі,бꙑти,2346658,58773,220455,V-,2spia----i
тъі,тꙑ,2346659,58769,220455,Pp,2s---mn--i
азъ,азъ,2346660,58807,220456,Pp,1s---mn--i
днесъ,дьньсь,2346661,65136,220456,Df,---------n
родіхъ,родити,2346662,65112,220456,V-,1saia----i
тѩ,тꙑ,2346663,58769,220456,Pp,2s---ma--i
Просі,просити,2346664,59329,220457,V-,2spma----i
оу,оу,2346665,64242,220457,Df,---------n
мне,азъ,2346666,58807,220457,Pp,1s---mg--i
и,и,2346667,58771,220457,C-,---------n
дамъ,дати,2346668,58843,220457,V-,1spia----i
ті,тꙑ,2346669,58769,220457,Pp,2s---md--i
ѩзъкъ,ѩзꙑкъ,2346670,59128,220457,Nb,-s---ma--i
достоѣнъе,достоꙗниѥ,2346671,59559,220457,Nb,-s---na--i
твое,твои,2346672,58814,220457,Ps,2s---na--i
і,и,2346673,58771,220457,C-,---------n
одръжанье,одрьжаниѥ,2346674,150728,220457,Nb,-s---na--i
твое,твои,2346675,58814,220457,Ps,2s---na--i
конець,коньць,2346676,64399,220457,Nb,-s---ma--i
землѩ,землꙗ,2346677,64341,220457,Nb,-s---fg--i
Оупасеші,оупасти,2346678,150725,220444,V-,2spia----i
ѩ,и,2346679,58765,220444,Pp,3p---pa--i
паліцеѭ,палица,2346680,79173,220444,Nb,-s---fi--i
желѣзноѭ,желѣзнъ,2346681,59201,220444,A-,-s---fipti
Ѣко,ꙗко,2346682,85825,220445,Df,---------n
съсѫдъі,съсѫдъ,2346683,59123,220445,Nb,-p---ma--i
скѫдельніка,скѫдьльникъ,2346684,65066,220445,Nb,-s---mg--i
съкроуші,съкроушити,2346685,64900,220445,V-,2saia----i
Ї,и,2346686,58771,220446,C-,---------n
нъінѣ,нꙑнѣ,2346687,64687,220446,Df,---------n
цр҃е,цѣсарь,2346688,64252,220446,Nb,-p---mn--i
разоумѣіте,разоумѣти,2346689,59914,220446,V-,2ppma----i
накажѣте,наказати,2346690,81887,220505,V-,2ppma----i
сѩ,себе,2346691,58829,220505,Pk,3s---qa--i
вьсі,вьсь,2346692,58821,220505,Px,-p---mn--i
сѫдѩщеі,сѫдити,2346693,66605,220505,V-,-pppamn-wi
землі,землꙗ,2346694,64341,220505,Nb,-s---fd--i
Работаите,работати,2346695,66467,220447,V-,2ppma----i
гв҃і,господь,2346696,58858,220447,Nb,-s---md--i
съ,съ,2346697,58764,220447,R-,---------n
страхомъ,страхъ,2346698,59228,220447,Nb,-s---mi--i
и,и,2346699,58771,220448,C-,---------n
радоуіте,радовати,2346700,65752,220448,V-,2ppma----i
сѩ,себе,2346701,58829,220448,Pk,3s---qa--i
емоу,и,2346702,58765,220448,Pp,3s---md--i
съ,съ,2346703,58764,220448,R-,---------n
трепетомъ,трепетъ,2346704,65943,220448,Nb,-s---mi--i
Приімѣте,приѩти,2346705,59498,220449,V-,2ppma----i
наказанье,наказаниѥ,2346706,83918,220449,Nb,-s---na--i
еда,еда,2346707,66802,220449,G-,---------n
когъда,когда,2346708,67090,220449,Df,---------n
прогнѣваетъ,прогнѣвати,2346709,67478,220449,V-,3spia----i
сѩ,себе,2346710,58829,220449,Pk,3s---qa--i
г҃ь,господь,2346711,58858,220449,Nb,-s---mn--i
и,и,2346712,58771,220449,C-,---------n
погъібнете,погꙑбнѫти,2346713,66872,220449,V-,2ppia----i
отъ,отъ,2346714,58785,220449,R-,---------n
пѫті,пѫть,2346715,58763,220449,Nb,-s---mg--i
праведьна,правьдьнъ,2346716,66286,220449,A-,-s---mgpsi
Егда,ѥгда,2346717,150729,220449,G-,---------n
възгорітъ,възгорѣти,2346718,68701,220449,V-,3spia----i
сѩ,себе,2346719,58829,220449,Pk,3s---qa--i
въскорѣ,въскорѣ,2346720,65358,220449,Df,---------n
ѣростъ,ꙗрость,2346721,55811,220449,Nb,-s---fn--i
его,и,2346722,58765,220449,Pp,3s---mg--i
Блажени,блаженъ,2346723,66920,220453,A-,-p---mnpsi
вьси,вьсь,2346724,58821,220453,Px,-p---mn--i
надѣѭщи,надѣꙗти,2346725,68904,220453,V-,-pppamn-si
сѩ,себе,2346726,58829,220453,Pk,3s---qa--i
на,на,2346727,58783,220453,R-,---------n
нъ,и,2346728,58765,220453,Pp,3s---ma--i
ПСАЛЪМЪ,псалъмъ,2346787,69176,220468,Nb,-s---mn--i
ДА҃ДО҃ВЪ,давꙑдовъ,2346788,64023,220468,A-,-s---mnpsi
ЕГДА,ѥгда,2346789,66511,220468,Dq,---------n
БѢГАШЕ,бѣгати,2346790,64415,220468,V-,3siia----i
ОТЪ,отъ,2346791,58785,220468,R-,---------n
ЛІЦ-А,лице,2346792,59927,220468,Nb,-s---ng--i
